CLASE DE ACCIDENTE;GRAVEDAD;VIAS;CORREGIMIENTO;DIA  SEMANA;FECHA DE OCURRECIA;HORA OCURRENCIA
CHOQUE;HERIDOS;CALI-CANDELARIA;CANDELARIA;VIERNES;21/05/2021;3:30:00 p. m.
ATROPELLO;HERIDOS;VILLARICA-PALMIRA;CANDELARIA;DOMINGO;23/05/2021;8:20:00 p. m.
CHOQUE;HERIDOS;CANDELARIA;VILLAGORGONA;MIERCOLES;26/05/2021;3:47:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;SABADO;29/05/2021;6:10:00 a. m.
CHOQUE;HERIDOS;VILLARICA-PALMIRA;EL LAURO;DOMINGO;30/05/2021;1:20:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;MARTES;1/06/2021;7:40:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;JUEVES;3/06/2021;11:40:00 a. m.
VOLCAMIENTO;MUERTOS;CALI-FLORIDA;LA REGINA;VIERNES;4/06/2021;4:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;SABADO;5/06/2021;10:20:00 a. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;LUNES;7/06/2021;9:20:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;JUEVES;10/06/2021;1:35:00 p. m.
CHOQUE;HERIDOS;CANDELARIA;CANDELARIA;JUEVES;10/06/2021;5:15:00 p. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;EL CABUYAL;VIERNES;11/06/2021;6:58:00 a. m.
ATROPELLO;MUERTOS;VILLARICA-PALMIRA;EL CABUYAL;SABADO;12/06/2021;9:57:00 a. m.
CHOQUE;HERIDOS;CALI-FLORIDA;LA REGINA;MARTES;15/06/2021;7:10:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;MARTES;15/06/2021;5:32:00 a. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;EL CABUYAL;JUEVES;17/06/2021;9:23:00 a. m.
CHOQUE;DAÑOS;CANDELARIA;EL CABUYAL;VIERNES;18/06/2021;2:15:00 p. m.
